target,train_rows,test_rows,accuracy,precision,recall,f1_score
target_1h,1484420,371106,0.9876827644931637,0.9876227885672549,0.9876827644931637,0.9876423352623805
target_6h,1484420,371106,0.9343880185176203,0.9329353667153201,0.9343880185176203,0.9330687569695829
target_24h,1484420,371106,0.8123554995068795,0.8045451016497007,0.8123554995068795,0.8078998622996766
target_7d,1484420,371106,0.7304489822314918,0.6904197420675464,0.7304489822314918,0.7019151720012583
target_30d,1484420,371106,0.6214558643622038,0.6095551834848041,0.6214558643622038,0.6002341823056284
