coin,rows
AAVE-USD_regime,37143
ACH-USD_regime,37141
ADA-USD_regime,37143
ALGO-USD_regime,37139
AMP-USD_regime,37060
ANKR-USD_regime,37084
ATOM-USD_regime,37141
AVAX-USD_regime,37144
AXS-USD_regime,37131
BAT-USD_regime,37132
BCH-USD_regime,37144
BTC-USD_regime,37144
COMP-USD_regime,37139
CRO-USD_regime,37140
CRV-USD_regime,37140
DASH-USD_regime,37135
DOGE-USD_regime,37143
DOT-USD_regime,37143
ENS-USD_regime,37071
ETC-USD_regime,37139
ETH-USD_regime,37145
FET-USD_regime,37139
FIL-USD_regime,37142
FORTH-USD_regime,37049
GRT-USD_regime,37092
ICP-USD_regime,37142
IMX-USD_regime,37143
JASMY-USD_regime,37139
LCX-USD_regime,37004
LINK-USD_regime,37143
LPT-USD_regime,36928
LRC-USD_regime,37123
LTC-USD_regime,37143
MANA-USD_regime,37140
NMR-USD_regime,37038
OGN-USD_regime,36924
QNT-USD_regime,37142
SHIB-USD_regime,37142
SNX-USD_regime,37073
SOL-USD_regime,37142
SPELL-USD_regime,37102
SUPER-USD_regime,36960
SUSHI-USD_regime,37096
UNI-USD_regime,37143
XLM-USD_regime,37143
XTZ-USD_regime,37142
XYO-USD_regime,37014
YFI-USD_regime,37118
ZEC-USD_regime,37143
ZRX-USD_regime,37136
