timestamp,low,high,open,close,volume,symbol
2022-01-25 18:00:00,1.1,1.2,1.2,1.16,404356.79,DIA-USD
2022-01-25 19:00:00,1.16,1.2,1.17,1.18,303164.53,DIA-USD
2022-01-25 20:00:00,1.09,1.19,1.18,1.11,280996.29,DIA-USD
2022-01-25 21:00:00,1.06,1.11,1.11,1.08,120681.08,DIA-USD
2022-01-25 22:00:00,0.97,1.08,1.08,1.04,253915.05,DIA-USD
2022-01-25 23:00:00,1.03,1.04,1.04,1.04,83074.92,DIA-USD
2022-01-26 00:00:00,1.03,1.07,1.04,1.05,90145.36,DIA-USD
2022-01-26 01:00:00,1.01,1.07,1.04,1.06,119685.58,DIA-USD
2022-01-26 02:00:00,1.04,1.08,1.06,1.05,42840.53,DIA-USD
2022-01-26 03:00:00,1.04,1.08,1.06,1.07,24390.46,DIA-USD
2022-01-26 04:00:00,1.03,1.07,1.07,1.07,29414.59,DIA-USD
2022-01-26 05:00:00,1.04,1.11,1.07,1.09,74437.44,DIA-USD
2022-01-26 06:00:00,1.05,1.11,1.09,1.05,33976.33,DIA-USD
2022-01-26 07:00:00,1.04,1.08,1.05,1.07,11159.25,DIA-USD
2022-01-26 08:00:00,1.04,1.08,1.06,1.07,25115.32,DIA-USD
2022-01-26 09:00:00,1.05,1.08,1.07,1.07,13346.6,DIA-USD
2022-01-26 10:00:00,1.05,1.09,1.07,1.08,20142.59,DIA-USD
2022-01-26 11:00:00,1.04,1.09,1.05,1.06,25396.86,DIA-USD
2022-01-26 12:00:00,1.04,1.09,1.06,1.05,41404.69,DIA-USD
2022-01-26 13:00:00,1.04,1.07,1.05,1.06,31722.42,DIA-USD
2022-01-26 14:00:00,1.05,1.09,1.06,1.07,69029.48,DIA-USD
2022-01-26 15:00:00,1.06,1.08,1.07,1.07,29190.94,DIA-USD
2022-01-26 16:00:00,1.06,1.1,1.07,1.09,47226.55,DIA-USD
2022-01-26 17:00:00,1.07,1.13,1.07,1.11,71292.06,DIA-USD
2022-01-26 18:00:00,1.01,1.12,1.1,1.05,125774.96,DIA-USD
2022-01-26 19:00:00,1.04,1.09,1.05,1.05,49423.38,DIA-USD
2022-01-26 20:00:00,0.99,1.04,1.04,1.01,48078.5,DIA-USD
2022-01-26 21:00:00,0.96,1.02,1.0,0.98,52211.86,DIA-USD
2022-01-26 22:00:00,0.96,0.99,0.98,0.98,33666.01,DIA-USD
2022-01-26 23:00:00,0.97,1.0,0.98,0.99,12429.42,DIA-USD
2022-01-27 00:00:00,0.97,1.0,0.99,1.0,22337.01,DIA-USD
2022-01-27 01:00:00,0.94,1.0,1.0,0.94,34352.54,DIA-USD
2022-01-27 02:00:00,0.94,0.97,0.96,0.97,17735.21,DIA-USD
2022-01-27 03:00:00,0.95,0.98,0.95,0.96,16848.14,DIA-USD
2022-01-27 04:00:00,0.95,0.98,0.97,0.98,8965.01,DIA-USD
2022-01-27 05:00:00,0.96,0.98,0.98,0.98,7550.59,DIA-USD
2022-01-27 06:00:00,0.96,1.0,0.98,0.97,5814.33,DIA-USD
2022-01-27 07:00:00,0.97,1.01,0.98,0.98,5421.77,DIA-USD
2022-01-27 08:00:00,0.96,1.0,1.0,1.0,10359.94,DIA-USD
2022-01-27 09:00:00,0.97,1.0,0.97,0.97,2742.27,DIA-USD
2022-01-27 10:00:00,0.95,1.0,0.99,0.95,64442.39,DIA-USD
2022-01-27 11:00:00,0.93,0.96,0.95,0.94,20320.94,DIA-USD
2022-01-27 12:00:00,0.94,0.96,0.94,0.95,9514.59,DIA-USD
2022-01-27 13:00:00,0.95,0.97,0.96,0.97,6661.38,DIA-USD
2022-01-27 14:00:00,0.95,0.99,0.97,0.98,62199.35,DIA-USD
2022-01-27 15:00:00,0.96,0.99,0.98,0.96,7367.65,DIA-USD
2022-01-27 16:00:00,0.96,0.98,0.97,0.97,28414.67,DIA-USD
2022-01-27 17:00:00,0.94,0.97,0.96,0.96,15397.62,DIA-USD
2022-01-27 18:00:00,0.9,0.96,0.96,0.94,68610.61,DIA-USD
2022-01-27 19:00:00,0.91,0.95,0.94,0.92,38274.0,DIA-USD
2022-01-27 20:00:00,0.89,0.93,0.92,0.91,16229.77,DIA-USD
2022-01-27 21:00:00,0.88,0.96,0.9,0.95,17055.74,DIA-USD
2022-01-27 22:00:00,0.9,0.95,0.95,0.93,12720.97,DIA-USD
2022-01-27 23:00:00,0.92,0.94,0.92,0.93,7383.84,DIA-USD
2022-01-28 00:00:00,0.93,0.95,0.94,0.94,4866.78,DIA-USD
2022-01-28 01:00:00,0.91,0.95,0.94,0.94,14545.67,DIA-USD
2022-01-28 02:00:00,0.92,0.95,0.92,0.94,16252.32,DIA-USD
2022-01-28 03:00:00,0.93,0.96,0.94,0.96,20474.12,DIA-USD
2022-01-28 04:00:00,0.94,0.96,0.96,0.95,6445.06,DIA-USD
2022-01-28 05:00:00,0.93,0.96,0.95,0.96,20271.13,DIA-USD
2022-01-28 06:00:00,0.95,0.97,0.96,0.96,12055.38,DIA-USD
