feature,mean_shap
market_regime,0.1177959987656027
btcd,0.10512260834024462
fgi_value,0.08726820700188588
volatility_72h,0.014109219898794434
btcd_change_24h,0.013468233117995495
volatility_24h,0.01244428775134504
fgi_change_24h,0.010609857136600795
bb_width,0.00808596595825058
roc_24,0.003094956537637847
return_24h,0.0028438843621071282
return_6h,0.0019128637376440432
volume,0.0019004591042632798
macd_signal,0.0016634573738799994
macd,0.0016600779637894777
ema_26,0.0012823628503518345
ema_12,0.0012259186499183606
atr_14,0.0009737908620570457
return_1h,0.0009674269659575715
low,0.0008683072986105405
open,0.000807657615271092
rsi_14,0.0007693698575339279
close,0.0007653267582597564
high,0.0007559354695250341
volume_ma24_ratio,0.0006997546464558021
macd_hist,0.0006964157217117733
volume_change,7.483676213188065e-05
