feature,mean_shap
btcd,1.7593642
fgi_value,0.76209676
market_regime,0.35851073
btcd_change_24h,0.15728031
fgi_change_24h,0.14355811
volatility_72h,0.07966999
volatility_24h,0.04228388
ema_26,0.029169641
macd_signal,0.016318945
low,0.014739887
ema_12,0.014670517
atr_14,0.01430485
high,0.014088011
volume,0.013539428
bb_width,0.010882733
open,0.00843464
return_24h,0.0077292277
macd,0.0055876523
rsi_14,0.005266189
close,0.005187974
macd_hist,0.0031802056
return_6h,0.0022827394
roc_24,0.0016285433
volume_ma24_ratio,0.0011115224
volume_change,0.00081684685
return_1h,0.00075629086
