model,target,accuracy,precision,recall,f1_score
RF + HMM,target_1h,0.987820191535572,0.9877700843835368,0.987820191535572,0.9877888740469078
RF + HMM,target_6h,0.9377132140143248,0.9364083411167274,0.9377132140143248,0.9365890993757334
RF + HMM,target_24h,0.8236137383928042,0.8100927392688622,0.8236137383928042,0.8137916371156109
RF,target_7d,0.749050136618648,0.6925964427015923,0.749050136618648,0.6970163884029221
RF + HMM,target_30d,0.637146799027771,0.6320089432266311,0.637146799027771,0.6018650274534356
