target,accuracy,precision,recall,f1_score
target_1h,0.9451181064170345,0.9454700951618826,0.9451181064170345,0.9427792570356577
target_6h,0.9123377148308031,0.9108444155381966,0.9123377148308031,0.9090950959077012
target_24h,0.7984053073784848,0.800208704299467,0.7984053073784848,0.7992099431581565
target_7d,0.735493363082246,0.6837368431721211,0.735493363082246,0.6962647834068377
target_30d,0.6257726902825608,0.6144129225946322,0.6257726902825608,0.6054573767481058
