target,accuracy,precision,recall,f1_score
target_1h,0.9193006849794937,0.9242821369391816,0.9193006849794937,0.914772753561503
target_6h,0.8974066708703173,0.9013244842897303,0.8974066708703173,0.8915650945480438
target_24h,0.7915043141312724,0.7880344451734055,0.7915043141312724,0.7859693469797321
target_7d,0.749050136618648,0.6925964427015923,0.749050136618648,0.6970163884029221
target_30d,0.631086535922351,0.6422403605237168,0.631086535922351,0.5972835781327334
