target,train_rows,test_rows,accuracy,precision,recall,f1_score
target_1h,1484420,371106,0.9878201915355721,0.9877700843835368,0.9878201915355721,0.9877888740469078
target_6h,1484420,371106,0.9377132140143247,0.9364083411167274,0.9377132140143247,0.9365890993757334
target_24h,1484420,371106,0.8236137383928042,0.8100927392688622,0.8236137383928042,0.8137916371156109
target_7d,1484420,371106,0.7478833540821221,0.6989462218611086,0.7478833540821221,0.699068314000805
target_30d,1484420,371106,0.637146799027771,0.6320089432266311,0.637146799027771,0.6018650274534356
